id,label,uri,type,type_generic,predicate_type
131,cayenne pepper (dried),http://purl.obolibrary.org/obo/FOODON_03315872,food,food,
132,24520 - mackerel; indian (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542452,food,food,
133,strawberry (preserved in airtight container),http://purl.obolibrary.org/obo/FOODON_03316310,food,food,
134,nam-budu,http://purl.obolibrary.org/obo/FOODON_00001313,food,food,
135,cod liver oil emulsion (food product),http://purl.obolibrary.org/obo/FOODON_03315252,food,food,
136,sandwich spread; fat-based; energy reduced,http://purl.obolibrary.org/obo/FOODON_03315974,food,food,
137,fish product (cooked),http://purl.obolibrary.org/obo/FOODON_03316281,food,food,
138,oyster-flavored sauce,http://purl.obolibrary.org/obo/FOODON_03307060,food,food,
139,color additive (natural),http://purl.obolibrary.org/obo/FOODON_03303179,food,food,
140,33590 - other wine-like fruit drinks (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543359,food,food,
141,grape beverage base (vitamin-fortified; artificially sweetened;-flavored and colored),http://purl.obolibrary.org/obo/FOODON_03302283,food,food,
142,scamp,http://purl.obolibrary.org/obo/FOODON_03412887,food,food,
143,19680 - turkey; minced meat (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541968,food,food,
144,36820 - juniper (infusion bark; wood; shoots) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543682,food,food,
145,27670 - cheese; vacherin mont d'or (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542767,food,food,
146,marrowfat pea plant,http://purl.obolibrary.org/obo/FOODON_03414528,food,food,
147,condensed cow skim milk,http://purl.obolibrary.org/obo/FOODON_03304399,food,food,
148,bacteria curing process,http://purl.obolibrary.org/obo/FOODON_03460326,food,food,formed as a result of
149,boa,http://purl.obolibrary.org/obo/FOODON_00003002,food,food,
150,0620000 - coffee beans (ec),http://purl.obolibrary.org/obo/FOODON_03401243,food,food,
151,whipped cream cake (frozen),http://purl.obolibrary.org/obo/FOODON_03302765,food,food,
152,50260900 - cucurbits - inedible peel (gs1 gpc),http://purl.obolibrary.org/obo/FOODON_03401373,food,food,
153,margarine (salt-free),http://purl.obolibrary.org/obo/FOODON_03306260,food,food,
154,06820 - pointed gourds (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540682,food,food,
155,green skin,http://purl.obolibrary.org/obo/FOODON_03530280,food,food,
